市場,区分,ブランド,型番,JAN,価格,価格の種類,成約件数,出品件数,平均売却日数,価格ばらつき,取得日
AMAZON,SELL,SHARP,RE-SS-127,,17360,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SHARP,RE-SS-127,,20150,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SHARP,RE-SS-127,,16275,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SHARP,RE-SS-127,,11160,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SHARP,RE-SS-127,,10540,出品,,26,,0.14,2026-08-20
MERCARI,SELL,UNIQLO,DWN-01-135,,11700,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,UNIQLO,DWN-01-135,,11232,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,UNIQLO,DWN-01-135,,10881,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,UNIQLO,DWN-01-135,,13104,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,UNIQLO,DWN-01-135,,15210,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,UNIQLO,DWN-01-135,,12285,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,UNIQLO,DWN-01-135,,8424,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,UNIQLO,DWN-01-135,,7956,出品,,26,,0.14,2026-08-20
MERCARI,SELL,LENOVO,TB-J606-143,,19000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,LENOVO,TB-J606-143,,18240,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,LENOVO,TB-J606-143,,17670,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,LENOVO,TB-J606-143,,21280,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,LENOVO,TB-J606-143,,24700,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,LENOVO,TB-J606-143,,19950,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,LENOVO,TB-J606-143,,13680,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,LENOVO,TB-J606-143,,12920,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NEC,PC-GN-151,,41000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NEC,PC-GN-151,,39360,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NEC,PC-GN-151,,38130,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NEC,PC-GN-151,,45920,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NEC,PC-GN-151,,53300,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NEC,PC-GN-151,,43050,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NEC,PC-GN-151,,29520,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NEC,PC-GN-151,,27880,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CASIO,OCW-S-159,,48500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CASIO,OCW-S-159,,46560,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CASIO,OCW-S-159,,45105,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CASIO,OCW-S-159,,54320,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CASIO,OCW-S-159,,63050,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CASIO,OCW-S-159,,50925,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CASIO,OCW-S-159,,34920,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CASIO,OCW-S-159,,32980,出品,,26,,0.14,2026-08-20
MERCARI,SELL,SONY,CUH-2200-167,,23500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,SONY,CUH-2200-167,,22560,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,SONY,CUH-2200-167,,21855,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,SONY,CUH-2200-167,,26320,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,SONY,CUH-2200-167,,30550,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,SONY,CUH-2200-167,,24675,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,SONY,CUH-2200-167,,16920,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,SONY,CUH-2200-167,,15980,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PRADA,BR4001-175,,54000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PRADA,BR4001-175,,51840,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PRADA,BR4001-175,,50220,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PRADA,BR4001-175,,60480,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PRADA,BR4001-175,,70200,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PRADA,BR4001-175,,56700,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PRADA,BR4001-175,,38880,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PRADA,BR4001-175,,36720,出品,,26,,0.14,2026-08-20
MERCARI,SELL,JBL,FLIP6-183,,15000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,JBL,FLIP6-183,,14400,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,JBL,FLIP6-183,,13950,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,JBL,FLIP6-183,,16800,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,JBL,FLIP6-183,,19500,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,JBL,FLIP6-183,,15750,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,JBL,FLIP6-183,,10800,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,JBL,FLIP6-183,,10200,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NINTENDO,HAC-GEN-191,,5300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NINTENDO,HAC-GEN-191,,5088,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NINTENDO,HAC-GEN-191,,4929,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NINTENDO,HAC-GEN-191,,5936,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NINTENDO,HAC-GEN-191,,6890,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NINTENDO,HAC-GEN-191,,5565,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NINTENDO,HAC-GEN-191,,3816,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NINTENDO,HAC-GEN-191,,3604,出品,,26,,0.14,2026-08-20
MERCARI,SELL,AUDIOTECHNICA,AT2020-199,,14300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,AUDIOTECHNICA,AT2020-199,,13728,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,AUDIOTECHNICA,AT2020-199,,13299,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,AUDIOTECHNICA,AT2020-199,,16016,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,AUDIOTECHNICA,AT2020-199,,18590,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,AUDIOTECHNICA,AT2020-199,,15015,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,AUDIOTECHNICA,AT2020-199,,10296,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,AUDIOTECHNICA,AT2020-199,,9724,出品,,26,,0.14,2026-08-20
MERCARI,SELL,NIKON,NIKKOR-Z-207,,29000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,NIKON,NIKKOR-Z-207,,27840,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,NIKON,NIKKOR-Z-207,,26970,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,NIKON,NIKKOR-Z-207,,32480,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,NIKON,NIKKOR-Z-207,,37700,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,NIKON,NIKKOR-Z-207,,30450,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,NIKON,NIKKOR-Z-207,,20880,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,NIKON,NIKKOR-Z-207,,19720,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CASIO,CT-S300-215,,19000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CASIO,CT-S300-215,,18240,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CASIO,CT-S300-215,,17670,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CASIO,CT-S300-215,,21280,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CASIO,CT-S300-215,,24700,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CASIO,CT-S300-215,,19950,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CASIO,CT-S300-215,,13680,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CASIO,CT-S300-215,,12920,出品,,26,,0.14,2026-08-20
MERCARI,SELL,EPSON,EF-12-223,,41500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,EPSON,EF-12-223,,39840,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,EPSON,EF-12-223,,38595,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,EPSON,EF-12-223,,46480,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,EPSON,EF-12-223,,53950,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,EPSON,EF-12-223,,43575,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,EPSON,EF-12-223,,29880,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,EPSON,EF-12-223,,28220,出品,,26,,0.14,2026-08-20
MERCARI,SELL,CANON,IXY650-231,,17500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,CANON,IXY650-231,,16800,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,CANON,IXY650-231,,16275,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,CANON,IXY650-231,,19600,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,CANON,IXY650-231,,22750,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,CANON,IXY650-231,,18375,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,CANON,IXY650-231,,12600,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,CANON,IXY650-231,,11900,出品,,26,,0.14,2026-08-20
MERCARI,SELL,YAMAHA,FG830-239,,26000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,YAMAHA,FG830-239,,24960,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,YAMAHA,FG830-239,,24180,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,YAMAHA,FG830-239,,29120,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,YAMAHA,FG830-239,,33800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,YAMAHA,FG830-239,,27300,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,YAMAHA,FG830-239,,18720,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,YAMAHA,FG830-239,,17680,出品,,26,,0.14,2026-08-20
MERCARI,SELL,YAMAHA,X0T-82-247,,26000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,YAMAHA,X0T-82-247,,24960,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,YAMAHA,X0T-82-247,,24180,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,YAMAHA,X0T-82-247,,29120,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,YAMAHA,X0T-82-247,,33800,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,YAMAHA,X0T-82-247,,27300,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,YAMAHA,X0T-82-247,,18720,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,YAMAHA,X0T-82-247,,17680,出品,,26,,0.14,2026-08-20
MERCARI,SELL,IODATA,LCD-MF-255,,19000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,IODATA,LCD-MF-255,,18240,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,IODATA,LCD-MF-255,,17670,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,IODATA,LCD-MF-255,,21280,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,IODATA,LCD-MF-255,,24700,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,IODATA,LCD-MF-255,,19950,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,IODATA,LCD-MF-255,,13680,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,IODATA,LCD-MF-255,,12920,出品,,26,,0.14,2026-08-20
MERCARI,SELL,COACH,CH-W2-263,,13300,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,COACH,CH-W2-263,,12768,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,COACH,CH-W2-263,,12369,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,COACH,CH-W2-263,,14896,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,COACH,CH-W2-263,,17290,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,COACH,CH-W2-263,,13965,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,COACH,CH-W2-263,,9576,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,COACH,CH-W2-263,,9044,出品,,26,,0.14,2026-08-20
MERCARI,SELL,DELONGHI,ECAM-271,,39500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,DELONGHI,ECAM-271,,37920,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,DELONGHI,ECAM-271,,36735,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,DELONGHI,ECAM-271,,44240,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,DELONGHI,ECAM-271,,51350,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,DELONGHI,ECAM-271,,41475,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,DELONGHI,ECAM-271,,28440,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,DELONGHI,ECAM-271,,26860,出品,,26,,0.14,2026-08-20
MERCARI,SELL,ZOJIRUSHI,NP-BK-279,,18000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,ZOJIRUSHI,NP-BK-279,,17280,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,ZOJIRUSHI,NP-BK-279,,16740,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,ZOJIRUSHI,NP-BK-279,,20160,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,ZOJIRUSHI,NP-BK-279,,23400,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,ZOJIRUSHI,NP-BK-279,,18900,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,ZOJIRUSHI,NP-BK-279,,12960,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,ZOJIRUSHI,NP-BK-279,,12240,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PORTER,PT-BIZ-287,,25000,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PORTER,PT-BIZ-287,,24000,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PORTER,PT-BIZ-287,,23250,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PORTER,PT-BIZ-287,,28000,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PORTER,PT-BIZ-287,,32500,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PORTER,PT-BIZ-287,,26250,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PORTER,PT-BIZ-287,,18000,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PORTER,PT-BIZ-287,,17000,出品,,26,,0.14,2026-08-20
MERCARI,SELL,PANASONIC,F-VXR-295,,21500,成約,14,30,12,0.08,2026-08-20
RAKUMA,SELL,PANASONIC,F-VXR-295,,20640,成約,6,22,18,0.09,2026-08-20
YAHUOKU,SELL,PANASONIC,F-VXR-295,,19995,成約,9,26,10,0.14,2026-08-20
AMAZON,SELL,PANASONIC,F-VXR-295,,24080,出品,3,12,25,0.06,2026-08-20
EBAY,SELL,PANASONIC,F-VXR-295,,27950,出品,2,9,40,0.2,2026-08-20
OWN_EC,SELL,PANASONIC,F-VXR-295,,22575,出品,,1,30,0.05,2026-08-20
MERCARI,BUY,PANASONIC,F-VXR-295,,15480,出品,,30,,0.08,2026-08-20
YAHUOKU,BUY,PANASONIC,F-VXR-295,,14620,出品,,26,,0.14,2026-08-20
